,average_second,total_second
none_16,0.00010080151081085204,5.0400755405426025
none_32,0.00011015958786010742,5.507979393005371
none_64,0.00012808067798614502,6.404033899307251
avg_pool_3x3_16,0.00034315564155578613,17.157782077789307
avg_pool_3x3_32,0.0005782424640655518,28.912123203277588
avg_pool_3x3_64,0.001088161826133728,54.4080913066864
max_pool_3x3_16,0.0007617334461212158,38.08667230606079
max_pool_3x3_32,0.0013902274513244628,69.51137256622314
max_pool_3x3_64,0.0026476655197143553,132.38327598571777
skip_connect_16,6.447468280792237e-05,3.223734140396118
skip_connect_32,5.9188446998596195e-05,2.9594223499298096
skip_connect_64,6.413530349731445e-05,3.2067651748657227
sep_conv_3x3_16,0.003504890022277832,175.2445011138916
sep_conv_3x3_32,0.004177078990936279,208.85394954681396
sep_conv_3x3_64,0.005373139214515686,268.6569607257843
sep_conv_5x5_16,0.0035823622465133665,179.11811232566833
sep_conv_5x5_32,0.004299994225502014,214.9997112751007
sep_conv_5x5_64,0.005494573802947998,274.7286901473999
sep_conv_7x7_16,0.003556141743659973,177.80708718299866
sep_conv_7x7_32,0.004253062953948975,212.65314769744873
sep_conv_7x7_64,0.005297099175453186,264.8549587726593
dil_conv_3x3_16,0.001896924695968628,94.8462347984314
dil_conv_3x3_32,0.002812647247314453,140.63236236572266
dil_conv_3x3_64,0.004671975274085999,233.59876370429993
dil_conv_5x5_16,0.0026916334772109987,134.58167386054993
dil_conv_5x5_32,0.004374925241470337,218.74626207351685
dil_conv_5x5_64,0.007870722889900207,393.5361444950104
conv_7x1_1x7_16,0.002293429732322693,114.67148661613464
conv_7x1_1x7_32,0.0024212442493438723,121.0622124671936
conv_7x1_1x7_64,0.003227753562927246,161.3876781463623
